x,y,z,qx,qy,qz,qw
-7.80001,-0.854413,0.173294,-0.694539,-0.155506,-0.422696,-0.422696
-7.83807,-0.855842,0.17642,-0.698024,-0.151473,-0.422521,-0.422521
-7.88139,-0.857561,0.177836,-0.699205,-0.149047,-0.422574,-0.422574
-7.92901,-0.860656,0.17626,-0.698322,-0.147824,-0.422632,-0.422632
-7.97246,-0.863856,0.171296,-0.695651,-0.147488,-0.422713,-0.422713
-8.014,-0.868537,0.164188,-0.691917,-0.147632,-0.422916,-0.422916
-8.05824,-0.873132,0.156394,-0.688484,-0.147312,-0.423376,-0.423376
-8.10351,-0.87814,0.148014,-0.686492,-0.145957,-0.424214,-0.424214
-8.15297,-0.882469,0.140278,-0.686363,-0.143084,-0.425121,-0.425121
-8.20549,-0.886931,0.133088,-0.68819,-0.138652,-0.425837,-0.425837
-8.25805,-0.890248,0.127118,-0.691565,-0.133097,-0.426269,-0.426269
-8.30847,-0.893511,0.12282,-0.694795,-0.127282,-0.42632,-0.42632
-8.35877,-0.898229,0.121595,-0.697286,-0.121554,-0.426057,-0.426057
-8.40731,-0.904466,0.1255,-0.699292,-0.11673,-0.426551,-0.426551
-8.45549,-0.908369,0.132461,-0.7018,-0.111974,-0.427648,-0.427648
-8.50412,-0.910252,0.138816,-0.705347,-0.105894,-0.428655,-0.428655
-8.55001,-0.911489,0.144096,-0.7104,-0.0989966,-0.429714,-0.429714
-8.59522,-0.909864,0.149426,-0.71646,-0.0915651,-0.431065,-0.431065
-8.63939,-0.907981,0.155001,-0.722313,-0.0844046,-0.433605,-0.433605
-8.68334,-0.906179,0.161667,-0.726808,-0.0784853,-0.437108,-0.437108
-8.73196,-0.907759,0.164878,-0.728616,-0.0742854,-0.44097,-0.44097
-8.78056,-0.909364,0.165058,-0.727956,-0.0718375,-0.445006,-0.445006
-8.82734,-0.91013,0.163482,-0.725842,-0.0705311,-0.449034,-0.449034
-8.87573,-0.910218,0.159578,-0.722932,-0.0699449,-0.452895,-0.452895
-8.92379,-0.908871,0.154025,-0.719491,-0.0695732,-0.456453,-0.456453
-8.96786,-0.907089,0.147916,-0.715859,-0.0693017,-0.459562,-0.459562
-9.01446,-0.905614,0.140377,-0.712348,-0.06891,-0.462018,-0.462018
-9.0635,-0.903844,0.135072,-0.708888,-0.068812,-0.46381,-0.46381
-9.11266,-0.901682,0.13279,-0.704778,-0.0695998,-0.465219,-0.465219
-9.15704,-0.899057,0.133241,-0.700349,-0.0714701,-0.466184,-0.466184
-9.20605,-0.897441,0.138527,-0.696465,-0.0733755,-0.467098,-0.467098
-9.25549,-0.898209,0.144808,-0.694882,-0.0740266,-0.467759,-0.467759
-9.29989,-0.895714,0.152006,-0.69563,-0.0731932,-0.468167,-0.468167
-9.34051,-0.896644,0.161015,-0.69613,-0.0728373,-0.468325,-0.468325
-9.38207,-0.896135,0.168222,-0.694474,-0.0745339,-0.468812,-0.468812
-9.42383,-0.896286,0.175427,-0.690528,-0.0786775,-0.469839,-0.469839
-9.46555,-0.896472,0.180622,-0.684569,-0.0846357,-0.471207,-0.471207
-9.51445,-0.896465,0.183581,-0.67735,-0.0917562,-0.472916,-0.472916
-9.55813,-0.897518,0.184833,-0.670113,-0.0991483,-0.474857,-0.474857
-9.60465,-0.898078,0.182368,-0.663815,-0.106177,-0.47707,-0.47707
-9.64962,-0.901965,0.178163,-0.659057,-0.112456,-0.479407,-0.479407
-9.69904,-0.904973,0.172883,-0.655939,-0.117769,-0.481784,-0.481784
-9.748,-0.907868,0.166957,-0.654337,-0.122169,-0.483997,-0.483997
-9.80375,-0.909638,0.164653,-0.653732,-0.126257,-0.485927,-0.485927
-9.85633,-0.912683,0.165061,-0.65303,-0.130867,-0.487471,-0.487471
-9.90734,-0.915577,0.167562,-0.652224,-0.135363,-0.48856,-0.48856
-9.96272,-0.919761,0.173868,-0.652298,-0.139725,-0.489466,-0.489466
-10.0189,-0.923587,0.182583,-0.653056,-0.143699,-0.490253,-0.490253
-10.0708,-0.926676,0.190922,-0.654,-0.146989,-0.490984,-0.490984
-10.1222,-0.92915,0.198873,-0.655368,-0.150059,-0.49179,-0.49179
-10.1685,-0.930558,0.205399,-0.656012,-0.153584,-0.49287,-0.49287
-10.2145,-0.932792,0.211918,-0.654058,-0.158765,-0.494124,-0.494124
-10.2591,-0.93779,0.218375,-0.649126,-0.165826,-0.495516,-0.495516
-10.3015,-0.943306,0.224582,-0.643159,-0.173564,-0.497169,-0.497169
-10.3474,-0.949735,0.228718,-0.637688,-0.181281,-0.498724,-0.498724
-10.3949,-0.956125,0.229963,-0.632993,-0.188771,-0.500186,-0.500186
-10.4408,-0.962483,0.228936,-0.628828,-0.196237,-0.501355,-0.501355
-10.4848,-0.968285,0.225855,-0.624318,-0.204262,-0.502118,-0.502118
-10.5299,-0.972551,0.221527,-0.618794,-0.212924,-0.502303,-0.502303
-10.5744,-0.977436,0.216631,-0.612575,-0.22212,-0.501738,-0.501738
-10.6205,-0.982904,0.212846,-0.606023,-0.23175,-0.500194,-0.500194
-10.6649,-0.989568,0.209948,-0.599304,-0.241521,-0.497709,-0.497709
-10.7088,-0.996825,0.209893,-0.593031,-0.250972,-0.494364,-0.494364
-10.7548,-1.00123,0.213226,-0.588025,-0.259937,-0.490234,-0.490234
-10.798,-1.00606,0.219571,-0.584641,-0.267911,-0.485442,-0.485442
-10.8396,-1.0083,0.227306,-0.583862,-0.27404,-0.480506,-0.480506
-10.8804,-1.01162,0.234879,-0.585245,-0.278733,-0.475387,-0.475387
-10.9171,-1.01448,0.24162,-0.586284,-0.283384,-0.469482,-0.469482
-10.9528,-1.02218,0.248157,-0.583771,-0.289645,-0.462268,-0.462268
-10.99,-1.03036,0.253857,-0.577869,-0.297657,-0.454197,-0.454197
-11.0298,-1.0402,0.258274,-0.571251,-0.305348,-0.446318,-0.446318
-11.0696,-1.05078,0.260583,-0.566125,-0.311722,-0.439102,-0.439102
-11.1062,-1.06554,0.261238,-0.562882,-0.316556,-0.432548,-0.432548
-11.1418,-1.08056,0.25873,-0.561166,-0.320249,-0.426663,-0.426663
-11.1792,-1.09413,0.253345,-0.56038,-0.323235,-0.42115,-0.42115
-11.2115,-1.11283,0.247155,-0.560308,-0.325493,-0.415883,-0.415883
-11.241,-1.13506,0.240443,-0.560757,-0.327322,-0.410529,-0.410529
-11.2671,-1.15905,0.234491,-0.561296,-0.328842,-0.404675,-0.404675
-11.3025,-1.18153,0.22845,-0.560977,-0.330657,-0.398398,-0.398398
-11.3335,-1.2064,0.225802,-0.559849,-0.332423,-0.391808,-0.391808
-11.3601,-1.23553,0.22697,-0.559904,-0.332973,-0.385808,-0.385808
-11.3924,-1.2609,0.230524,-0.561782,-0.332636,-0.38061,-0.38061
-11.4302,-1.2857,0.234088,-0.564173,-0.331747,-0.375193,-0.375193
-11.4604,-1.30989,0.236847,-0.566292,-0.330816,-0.369156,-0.369156
-11.487,-1.33397,0.239415,-0.56623,-0.330933,-0.362821,-0.362821
-11.5194,-1.35868,0.242891,-0.562469,-0.332557,-0.356344,-0.356344
-11.5473,-1.3836,0.247142,-0.556434,-0.334998,-0.350346,-0.350346
-11.5763,-1.40846,0.249774,-0.551333,-0.337308,-0.345552,-0.345552
-11.6053,-1.43383,0.25003,-0.548103,-0.339352,-0.341744,-0.341744
-11.6392,-1.4586,0.246066,-0.545723,-0.342005,-0.338358,-0.338358
-11.6701,-1.48246,0.241922,-0.54264,-0.345589,-0.33467,-0.33467
-11.7023,-1.5077,0.237605,-0.537894,-0.350303,-0.330551,-0.330551
-11.7328,-1.53177,0.233275,-0.533238,-0.355478,-0.326657,-0.326657
