x1,y1,x2,y2
953.394622252842,1792.828719765055,1038.2474341736388,1707.975904201078
1192.0431590817088,1554.180179293003,1107.190347160914,1639.03299485698
1107.190347160914,1639.03299485698,1192.0431590817088,1554.180179293003
1345.834999073557,1400.388338589816,1260.982187152763,1485.241154153793
1260.982187152763,1485.241154153793,1345.834999073557,1400.388338589816
4780.230688962357,431.0736058615371,4900.230688962357,431.0736058615371
4900.230688962357,431.0736058615371,4780.230688962357,431.0736058615371
4562.730688962355,431.0736058615371,4682.730688962357,431.0736058615371
4682.730688962357,431.0736058615371,4562.730688962355,431.0736058615371
4345.230688962356,431.0736058615372,4465.230688962356,431.0736058615372
4465.230688962356,431.0736058615372,4345.230688962356,431.0736058615372
4127.730688962356,431.0736058615372,4247.730688962356,431.0736058615372
4247.730688962356,431.0736058615372,4127.730688962356,431.0736058615372
3910.230688962356,431.0736058615373,4030.230688962355,431.0736058615373
4030.230688962355,431.0736058615373,3910.230688962356,431.0736058615373
3692.730688962355,431.0736058615373,3812.730688962356,431.0736058615373
3812.730688962356,431.0736058615373,3692.730688962355,431.0736058615373
3486.980685377692,604.3236058615453,3486.980685377691,484.32360586154505
3486.980685377691,484.32360586154505,3486.980685377692,604.3236058615453
3486.980685377692,821.8236058615449,3486.980685377692,701.8236058615445
3486.980685377692,701.8236058615445,3486.980685377692,821.8236058615449
3486.980688964417,1039.32360586214,3486.980688964417,919.3236058621396
3486.980688964417,919.3236058621396,3486.980688964417,1039.32360586214
1988.9806961500417,2171.073605861545,3558.980681774679,2171.073605861545
3558.980681774679,2201.073605861545,1988.9806961500417,2201.073605861545
4507.230688962361,461.0736058615373,4507.230688962361,1086.0736164601306
4477.230688962361,1116.0736164601306,4477.23068896236,461.0736058615373
4507.230688962361,1086.0736164601306,4753.480690191708,1086.0736164601306
4753.480689912311,1116.0736164601306,4507.230688962361,1116.0736164601306
2353.980688962361,2525.573605861541,2353.980688962361,2740.573605861541
2323.980688962359,2770.573605861541,2323.980688962359,2535.5736058615407
2353.980688962361,2740.573605861541,2598.9806895071447,2740.573605861541
2628.980689507145,2740.573605861541,2908.980689507146,2740.573605861541
2938.980689507146,2770.573605861541,2353.980688962361,2770.573605861541
2908.980689507146,2740.573605861541,2908.980689507146,2525.5736058615403
2938.980689507146,2535.57360586154,2938.980689507146,2740.573605861541
2908.980689507146,2525.5736058615403,2848.380693247461,2525.5736058615403
2700.380693102184,2525.5736058615403,2628.9806890087257,2525.5736058615403
2598.980689008726,2525.5736058615403,2533.680695844282,2525.5736058615403
2405.6806946010483,2525.573605861541,2353.980688962361,2525.573605861541
2353.980688962361,2505.5736058615407,2405.6806946010483,2505.5736058615407
2533.680695844282,2505.5736058615407,2700.380693102184,2505.5736058615407
2848.380693247461,2505.5736058615403,2908.980689507146,2505.5736058615403
2598.9806895071447,2740.573605861541,2598.980689008726,2525.5736058615403
2628.9806890087257,2525.5736058615403,2628.980689507145,2740.573605861541
2018.980696150043,2535.5736058615407,2018.980696150043,2865.573609854693
1988.9806961500417,2895.573614646476,1988.9806961500417,2505.5736058615407
2018.980696150043,2865.573609854693,2323.980688962359,2865.573561138233
2383.980696150038,2895.573551554666,2018.980696150043,2895.5736098546927
2353.980688962361,2770.573605861541,2353.980688962361,2865.57355634645
2323.980688962359,2865.573561138233,2323.980688962359,2770.573605861541
2938.980689507146,2505.5736058615403,2998.9806914167298,2505.5736058615403
3108.980691598278,2505.5736058615407,3390.980690478753,2505.5736058615407
3500.980690660299,2505.5736058615407,3558.980681774679,2505.5736058615407
3390.98068864969,2535.5736058615407,3223.9806889623615,2535.5736058615407
3193.980688962361,2535.5736058615407,3108.980688173216,2535.5736058615407
